time,Csoc_estimate,PYsoc_estimate
0.0,100.0,100.0
1.0,99.9709,99.90977344861591
2.0,100.0,100.39477879871083
3.0,99.968012,100.27364785718812
4.0,100.0,100.45059169996439
5.0,100.0,100.51423393835628
6.0,99.92895,100.36100921255616
7.0,99.631073,99.96732424649508
8.0,99.538729,99.8425511603936
9.0,99.624311,99.88433718560015
10.0,99.400744,99.6574986329117
11.0,99.422155,99.64978793279705
12.0,99.214696,99.46712435363122
13.0,99.281876,99.49573813399226
14.0,99.378935,99.54840823384184
15.0,99.363211,99.52203823694009
16.0,99.671403,99.73547817739289
17.0,99.556002,99.62536593544232
18.0,99.42666,99.51295348944429
19.0,99.19396,99.33310295228972
20.0,99.249203,99.35957841027114
21.0,99.312185,99.3935830655395
22.0,99.300774,99.37874722738557
23.0,99.2273,99.32186075426577
24.0,99.383126,99.41823412015738
25.0,99.212335,99.29054945634365
26.0,99.197232,99.27526383887431
27.0,99.288298,99.32936086602321
28.0,99.413088,99.41078275132212
29.0,99.392309,99.39245561817985
30.0,99.498606,99.46677966304472
31.0,99.488792,99.4570137127227
32.0,99.391625,99.38028087166694
33.0,99.525531,99.47401835476877
34.0,99.608602,99.53774448819733
35.0,99.567183,99.50225377047201
36.0,99.683474,99.59422013565171
37.0,99.783965,99.68154560883902
38.0,99.818772,99.71443171214752
39.0,99.798873,99.6948752823954
40.0,99.685419,99.58716062976889
41.0,99.705251,99.60343995228007
42.0,99.678651,99.58028801197344
43.0,99.64432,99.55128323862577
44.0,99.667123,99.56890643433722
45.0,99.693578,99.58989124691175
46.0,99.746023,99.63294869035805
47.0,99.722763,99.61259755493002
48.0,99.640269,99.54279285670393
49.0,99.654488,99.5532076944801
50.0,99.639381,99.54080304299585
51.0,99.60902,99.51677412980843
52.0,99.561371,99.48036120902985
53.0,99.583226,99.49503425389577
54.0,99.598322,99.50518557900858
55.0,99.593285,99.50071247897387
56.0,99.582852,99.49229510552166
57.0,99.711542,99.584715140306
58.0,99.720083,99.59161316383603
59.0,99.661799,99.54376646021889
60.0,99.696914,99.57050076388997
61.0,99.653055,99.53542940153417
62.0,99.587363,99.48513607246441
63.0,99.693946,99.5604000469741
64.0,99.661076,99.53437790195241
65.0,99.634016,99.51350991223318
66.0,99.627885,99.50855548831072
67.0,99.641498,99.51808417275419
68.0,99.70218,99.5627454738661
69.0,99.680892,99.5459126262746
70.0,99.626278,99.50375726948204
71.0,99.678502,99.54120078367603
72.0,99.675717,99.53888776344098
73.0,99.701882,99.55856119059511
74.0,99.640967,99.5109935084626
75.0,99.648768,99.51628794750145
76.0,99.65741,99.5222741054023
77.0,99.658672,99.52288213431494
78.0,99.625348,99.49788897319569
79.0,99.643253,99.51017441704052
80.0,99.65944,99.52152697546222
81.0,99.680203,99.53652447949268
82.0,99.64616,99.5106441360028
83.0,99.65752,99.51847445441435
84.0,99.722424,99.56573004955607
85.0,99.688951,99.53939782471045
86.0,99.651316,99.51075447509837
87.0,99.65654,99.51414346410151
