time,Current
0,0.001
0.099907207,0.001
0.199814414,0.001
0.299721621,0.001
0.399628828,0.001
0.499536035,0.001
0.599443242,0.001
0.699350448,0.001
0.799257655,0.001
0.899164862,0.001
0.999072069,0.001
1.098979276,0.001
1.198886483,0.001
1.29879369,0.001
1.398700897,0.001
1.498608104,0.001
1.598515311,0.001
1.698422518,0.001
1.798329725,0.001
1.898236932,0.001
1.998144139,0.001
2.098051345,0.001
2.197958552,0.001
2.297865759,0.001
2.397772966,0.001
2.497680173,0.001
2.59758738,0.001
2.697494587,0.001
2.797401794,0.001
2.897309001,0.001
2.997216208,0.001
3.097123415,0.001
3.197030622,0.001
3.296937829,0.001
3.396845036,0.001
3.496752242,0.001
3.596659449,0.001
3.696566656,0.001
3.796473863,0.001
3.89638107,0.001
3.996288277,0.001
4.096195484,0.001
4.196102691,0.001
4.296009898,0.001
4.395917105,0.001
4.495824312,0.001
4.595731519,0.001
4.695638726,0.001
4.795545933,0.001
4.895453139,0.001
4.995360346,0.001
5.095267553,0.001
5.19517476,0.001
5.295081967,0.001
5.394989174,0.001
5.494896381,0.001
5.594803588,0.001
5.694710795,0.001
5.794618002,0.001
5.894525209,0.001
5.994432416,0.001
6.094339623,0.001
6.19424683,0.001
6.294154036,0.001
6.394061243,0.001
6.49396845,0.001
6.593875657,0.001
6.693782864,0.001
6.793690071,0.001
6.893597278,0.001
6.993504485,0.001
7.093411692,0.001
7.193318899,0.001
7.293226106,0.001
7.393133313,0.001
7.49304052,0.001
7.592947727,0.001
7.692854933,0.001
7.79276214,0.001
7.892669347,0.001
7.992576554,0.001
8.092483761,0.001
8.192390968,0.001
8.292298175,0.001
8.392205382,0.001
8.492112589,0.001
8.592019796,0.001
8.691927003,0.001
8.79183421,0.001
8.891741417,0.001
8.991648624,0.001
9.09155583,0.001
9.191463037,0.001
9.291370244,0.001
9.391277451,0.001
9.491184658,0.001
9.591091865,0.001
9.690999072,0.001
9.790906279,0.001
9.890813486,0.001
9.990720693,0.001
10.0906279,0.001
10.19053511,0.001
10.29044231,0.001
10.39034952,0.001
10.49025673,0.001
10.59016393,0.001
10.69007114,0.001
10.78997835,0.001
10.88988556,0.001
10.98979276,0.001
11.08969997,0.001
11.18960718,0.001
11.28951438,0.001
11.38942159,0.001
11.4893288,0.001
11.589236,0.001
11.68914321,0.001
11.78905042,0.001
11.88895762,0.001
11.98886483,0.001
12.08877204,0.001
12.18867925,0.001
12.28858645,0.001
12.38849366,0.001
12.48840087,0.001
12.58830807,0.001
12.68821528,0.001
12.78812249,0.001
12.88802969,0.001
12.9879369,0.001
13.08784411,0.001
13.18775131,0.001
13.28765852,0.001
13.38756573,0.001
13.48747294,0.001
13.58738014,0.001
13.68728735,0.001
13.78719456,0.001
13.88710176,0.001
13.98700897,0.001
